Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
Standard Class,Corporate,United States,Pomona,California,91767,West,Office Supplies,Art,385.6,8,0,111.824
Second Class,Consumer,United States,North Las Vegas,Nevada,89031,West,Furniture,Tables,1669.6,4,0,116.872
Standard Class,Consumer,United States,Allentown,Pennsylvania,18103,East,Office Supplies,Art,4.16,2,0.2,0.364
Second Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Fasteners,26.18,7,0,0.5236
Standard Class,Corporate,United States,Miami,Florida,33142,South,Office Supplies,Paper,74.352,3,0.2,23.235
Standard Class,Consumer,United States,Tempe,Arizona,85281,West,Office Supplies,Storage,10.744,1,0.2,0.8058
Standard Class,Home Office,United States,Laguna Niguel,California,92677,West,Furniture,Bookcases,203.983,2,0.15,16.7986
Standard Class,Corporate,United States,Bridgeton,New Jersey,8302,East,Office Supplies,Storage,40.74,3,0,0.4074
Second Class,Consumer,United States,Everett,Massachusetts,2149,East,Technology,Phones,39.99,1,0,11.5971
Standard Class,Home Office,United States,San Diego,California,92024,West,Office Supplies,Binders,82.896,3,0.2,29.0136
Second Class,Corporate,United States,Watertown,New York,13601,East,Furniture,Bookcases,1573.488,7,0.2,196.686
First Class,Home Office,United States,Appleton,Wisconsin,54915,Central,Office Supplies,Labels,21.56,7,0,10.3488
Standard Class,Corporate,United States,Bellevue,Washington,98006,West,Office Supplies,Art,5.28,3,0,1.5312
Standard Class,Consumer,United States,Long Beach,New York,11561,East,Technology,Accessories,91.96,4,0,39.5428
Standard Class,Home Office,United States,San Francisco,California,94109,West,Office Supplies,Labels,18.9,6,0,9.072
First Class,Home Office,United States,Seattle,Washington,98115,West,Office Supplies,Art,2.78,1,0,0.7228
Same Day,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Paper,11.352,3,0.2,4.1151
Same Day,Consumer,United States,Columbia,South Carolina,29203,South,Office Supplies,Storage,354.9,5,0,17.745
First Class,Consumer,United States,Allen,Texas,75002,Central,Technology,Accessories,21.48,3,0.2,-0.2685
Same Day,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,122.97,3,0,60.2553
First Class,Consumer,United States,El Paso,Texas,79907,Central,Technology,Phones,40.68,3,0.2,-9.153
Standard Class,Home Office,United States,Florence,Alabama,35630,South,Office Supplies,Paper,4.98,1,0,2.4402
Standard Class,Corporate,United States,Grapevine,Texas,76051,Central,Office Supplies,Art,33.488,7,0.2,5.8604
First Class,Home Office,United States,Peoria,Illinois,61604,Central,Furniture,Bookcases,359.058,3,0.3,-35.9058
Second Class,Consumer,United States,Carrollton,Texas,75007,Central,Office Supplies,Paper,16.896,4,0.2,5.28
Second Class,Corporate,United States,Dover,Delaware,19901,East,Furniture,Furnishings,211.96,2,0,42.392
Standard Class,Consumer,United States,Smyrna,Tennessee,37167,South,Office Supplies,Art,6.672,3,0.2,1.668
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Art,155.94,6,0,45.2226
Standard Class,Corporate,United States,Oakland,California,94601,West,Office Supplies,Storage,1000.02,7,0,290.0058
Standard Class,Home Office,United States,Eagan,Minnesota,55122,Central,Office Supplies,Labels,3.75,1,0,1.8
Standard Class,Consumer,United States,Kent,Washington,98031,West,Furniture,Furnishings,198.46,2,0,99.23
Standard Class,Consumer,United States,Lafayette,Louisiana,70506,South,Furniture,Chairs,517.5,6,0,155.25
Second Class,Consumer,United States,Cleveland,Ohio,44105,East,Furniture,Furnishings,17.92,5,0.2,2.464
Same Day,Consumer,United States,Cleveland,Ohio,44105,East,Office Supplies,Storage,1006.056,3,0.2,88.0299
Standard Class,Consumer,United States,Tigard,Oregon,97224,West,Office Supplies,Paper,15.552,3,0.2,5.4432
Standard Class,Corporate,United States,Skokie,Illinois,60076,Central,Office Supplies,Fasteners,12.624,2,0.2,3.945
First Class,Corporate,United States,Seattle,Washington,98115,West,Office Supplies,Storage,1247.64,3,0,349.3392
Same Day,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Paper,109.92,2,0,53.8608
First Class,Consumer,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Furnishings,34.79,7,0,10.7849
First Class,Corporate,United States,North Las Vegas,Nevada,89031,West,Technology,Accessories,58.58,2,0,19.3314
Standard Class,Consumer,United States,Plano,Texas,75023,Central,Technology,Phones,167.968,4,0.2,62.988
First Class,Consumer,United States,Suffolk,Virginia,23434,South,Office Supplies,Labels,196.62,2,0,96.3438
Standard Class,Consumer,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Paper,33.45,5,0,15.387
Second Class,Home Office,United States,Plano,Texas,75023,Central,Technology,Accessories,13.616,2,0.2,3.5742
Second Class,Home Office,United States,Bayonne,New Jersey,7002,East,Technology,Accessories,63.96,4,0,19.8276
Same Day,Consumer,United States,Glendale,Arizona,85301,West,Office Supplies,Binders,9.702,3,0.7,-7.1148
Second Class,Corporate,United States,Dublin,Ohio,43017,East,Furniture,Tables,1048.35,5,0.4,-69.89
Same Day,Consumer,United States,Springfield,Virginia,22153,South,Technology,Accessories,100,4,0,21
Standard Class,Corporate,United States,Fayetteville,North Carolina,28314,South,Office Supplies,Paper,96.256,8,0.2,31.2832
Second Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Appliances,34.848,2,0.2,6.534
First Class,Consumer,United States,Rochester,New York,14609,East,Office Supplies,Art,13.36,2,0,4.9432
Standard Class,Home Office,United States,San Antonio,Texas,78207,Central,Furniture,Tables,206.962,2,0.3,-32.5226
First Class,Consumer,United States,Oakland,California,94601,West,Furniture,Furnishings,9.46,2,0,3.6894
Second Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Paper,360.712,11,0.2,130.7581
First Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Binders,41.568,6,0.8,-66.5088
Standard Class,Home Office,United States,Suffolk,Virginia,23434,South,Office Supplies,Supplies,35.06,2,0,10.518
Standard Class,Consumer,United States,Greensboro,North Carolina,27405,South,Office Supplies,Binders,7.644,4,0.7,-5.8604
Standard Class,Corporate,United States,Baltimore,Maryland,21215,East,Office Supplies,Binders,20.86,2,0,9.387
Standard Class,Corporate,United States,Milwaukee,Wisconsin,53209,Central,Office Supplies,Paper,219.84,4,0,107.7216
Standard Class,Corporate,United States,Kenosha,Wisconsin,53142,Central,Technology,Phones,134.97,3,0,64.7856
First Class,Consumer,United States,Madison,Wisconsin,53711,Central,Furniture,Chairs,2807.84,8,0,673.8816
Standard Class,Home Office,United States,Olathe,Kansas,66062,Central,Office Supplies,Art,107.94,3,0,26.985
Standard Class,Consumer,United States,San Jose,California,95123,West,Furniture,Furnishings,215.65,5,0,73.321
Standard Class,Home Office,United States,Auburn,Washington,98002,West,Furniture,Furnishings,4.18,1,0,1.5048
First Class,Corporate,United States,Tulsa,Oklahoma,74133,Central,Technology,Phones,69.93,7,0,0.6993
Second Class,Consumer,United States,Harrisonburg,Virginia,22801,South,Furniture,Tables,1441.3,7,0,245.021
Standard Class,Consumer,United States,Redmond,Oregon,97756,West,Office Supplies,Binders,31.32,10,0.7,-25.056
Second Class,Home Office,United States,Raleigh,North Carolina,27604,South,Technology,Phones,1127.976,3,0.2,126.8973
Second Class,Corporate,United States,Macon,Georgia,31204,South,Office Supplies,Paper,38.88,6,0,18.6624
Standard Class,Consumer,United States,Cleveland,Ohio,44105,East,Technology,Phones,779.796,2,0.4,-168.9558
Same Day,Home Office,United States,Muskogee,Oklahoma,74403,Central,Technology,Phones,1439.92,8,0,374.3792
Standard Class,Corporate,United States,Austin,Texas,78745,Central,Technology,Machines,1439.982,3,0.4,-263.9967
First Class,Consumer,United States,Meriden,Connecticut,6450,East,Office Supplies,Art,21.4,5,0,6.206
Second Class,Corporate,United States,Roswell,Georgia,30076,South,Office Supplies,Appliances,1245.86,7,0,361.2994
Standard Class,Corporate,United States,Bowling Green,Kentucky,42104,South,Furniture,Chairs,140.81,1,0,39.4268
Second Class,Corporate,United States,San Antonio,Texas,78207,Central,Office Supplies,Labels,40.096,4,0.2,13.5324
Second Class,Home Office,United States,Washington,District of Columbia,20016,East,Office Supplies,Paper,40.08,6,0,19.2384
Same Day,Corporate,United States,Los Angeles,California,90004,West,Furniture,Chairs,362.352,3,0.2,27.1764
Second Class,Consumer,United States,South Bend,Indiana,46614,Central,Office Supplies,Storage,34.76,1,0,9.7328
First Class,Corporate,United States,Bristol,Connecticut,6010,East,Office Supplies,Appliances,137.62,2,0,60.5528
Same Day,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,49.632,4,0.2,4.9632
Same Day,Corporate,United States,Newark,Ohio,43055,East,Technology,Phones,370.782,3,0.4,-92.6955
First Class,Corporate,United States,Henderson,Nevada,89015,West,Furniture,Furnishings,196.45,5,0,70.722
Standard Class,Consumer,United States,Spokane,Washington,99207,West,Furniture,Tables,70.98,1,0,20.5842
Second Class,Consumer,United States,Keller,Texas,76248,Central,Office Supplies,Labels,6,2,0.2,2.1
First Class,Home Office,United States,Hialeah,Florida,33012,South,Office Supplies,Fasteners,7.104,2,0.2,2.3976
First Class,Consumer,United States,Fairfield,Ohio,45014,East,Office Supplies,Appliances,121.792,4,0.2,13.7016
Standard Class,Corporate,United States,Huntington Beach,California,92646,West,Office Supplies,Paper,10.56,2,0,4.752
Second Class,Consumer,United States,Port Orange,Florida,32127,South,Office Supplies,Envelopes,7.824,1,0.2,2.934
Standard Class,Consumer,United States,Medford,Oregon,97504,West,Office Supplies,Paper,24.784,1,0.2,7.745
First Class,Consumer,United States,Charlottesville,Virginia,22901,South,Office Supplies,Art,34.65,3,0,10.395
Standard Class,Consumer,United States,Missoula,Montana,59801,West,Office Supplies,Binders,487.984,2,0.2,152.495
First Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,1793.98,2,0,843.1706
Second Class,Consumer,United States,Florence,South Carolina,29501,South,Office Supplies,Storage,191.88,6,0,19.188
First Class,Corporate,United States,Springfield,Oregon,97477,West,Office Supplies,Paper,5.184,1,0.2,1.8144
First Class,Corporate,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Storage,909.12,8,0,9.0912
Standard Class,Corporate,United States,Apopka,Florida,32712,South,Office Supplies,Binders,2.952,2,0.7,-2.1648
Standard Class,Consumer,United States,Oceanside,New York,11572,East,Furniture,Furnishings,18.96,2,0,8.532
First Class,Consumer,United States,Roswell,Georgia,30076,South,Technology,Accessories,149.95,5,0,65.978
Standard Class,Home Office,United States,Boynton Beach,Florida,33437,South,Office Supplies,Labels,4.608,2,0.2,1.6704
Standard Class,Consumer,United States,Franklin,Massachusetts,2038,East,Office Supplies,Art,11.65,5,0,3.3785
Second Class,Home Office,United States,Detroit,Michigan,48227,Central,Technology,Phones,299.9,2,0,74.975
First Class,Corporate,United States,Watertown,New York,13601,East,Office Supplies,Binders,895.92,5,0.2,302.373
Standard Class,Corporate,United States,Reading,Pennsylvania,19601,East,Office Supplies,Storage,15.008,2,0.2,1.5008
Second Class,Corporate,United States,Arlington,Texas,76017,Central,Technology,Phones,863.64,9,0.2,107.955
Second Class,Consumer,United States,San Diego,California,92024,West,Office Supplies,Paper,92.94,3,0,41.823
Second Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Paper,6.48,1,0,3.1104
Second Class,Consumer,United States,Scottsdale,Arizona,85254,West,Technology,Phones,271.992,1,0.2,23.7993
Second Class,Consumer,United States,Lafayette,Louisiana,70506,South,Furniture,Bookcases,145.74,3,0,23.3184
Standard Class,Consumer,United States,Broomfield,Colorado,80020,West,Office Supplies,Binders,19.968,2,0.7,-13.312
Standard Class,Corporate,United States,Carrollton,Texas,75007,Central,Technology,Accessories,95.968,4,0.2,26.3912
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Binders,16.2,3,0,7.776
Standard Class,Consumer,United States,Paterson,New Jersey,7501,East,Technology,Phones,281.97,3,0,78.9516
Standard Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Technology,Accessories,291.96,4,0,102.186
Second Class,Corporate,United States,Montgomery,Alabama,36116,South,Office Supplies,Storage,275.97,3,0,11.0388
Second Class,Corporate,United States,Columbus,Georgia,31907,South,Office Supplies,Binders,3.76,2,0,1.8048
Standard Class,Consumer,United States,Oklahoma City,Oklahoma,73120,Central,Technology,Phones,479.96,4,0,134.3888
Second Class,Corporate,United States,Brentwood,California,94513,West,Office Supplies,Appliances,320.88,6,0,93.0552
First Class,Consumer,United States,Columbus,Ohio,43229,East,Technology,Copiers,1439.976,4,0.4,191.9968
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Binders,17.22,3,0,7.9212
Standard Class,Home Office,United States,Springfield,Oregon,97477,West,Office Supplies,Labels,71.04,6,0.2,26.64
First Class,Corporate,United States,Chesapeake,Virginia,23320,South,Office Supplies,Labels,15,4,0,7.2
Second Class,Consumer,United States,Louisville,Kentucky,40214,South,Office Supplies,Storage,95.94,3,0,9.594
Standard Class,Home Office,United States,Lubbock,Texas,79424,Central,Office Supplies,Binders,11.364,3,0.8,-17.046
Standard Class,Corporate,United States,Columbia,Missouri,65203,Central,Office Supplies,Art,29.68,7,0,11.5752
Standard Class,Consumer,United States,Johnson City,Tennessee,37604,South,Office Supplies,Art,4.224,3,0.2,0.4752
Standard Class,Consumer,United States,Auburn,Alabama,36830,South,Furniture,Chairs,350.98,1,0,84.2352
Standard Class,Consumer,United States,San Bernardino,California,92404,West,Office Supplies,Binders,17.568,2,0.2,6.3684
First Class,Home Office,United States,Providence,Rhode Island,2908,East,Office Supplies,Storage,1606.23,9,0,481.869
Second Class,Home Office,United States,Lancaster,California,93534,West,Office Supplies,Binders,33.024,2,0.2,11.5584
Standard Class,Corporate,United States,Leominster,Massachusetts,1453,East,Office Supplies,Binders,14.73,3,0,6.9231
Standard Class,Home Office,United States,Bozeman,Montana,59715,West,Office Supplies,Paper,29.04,3,0,13.9392
Standard Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Paper,11.952,3,0.2,4.3326
Standard Class,Corporate,United States,Lakewood,Ohio,44107,East,Office Supplies,Art,38.864,7,0.2,7.7728
Standard Class,Corporate,United States,Perth Amboy,New Jersey,8861,East,Office Supplies,Appliances,162.64,2,0,45.5392
Standard Class,Consumer,United States,Richmond,Indiana,47374,Central,Furniture,Furnishings,17.31,3,0,5.193
First Class,Consumer,United States,Detroit,Michigan,48227,Central,Technology,Accessories,199.95,5,0,63.984
Standard Class,Consumer,United States,Pomona,California,91767,West,Technology,Accessories,199.96,4,0,69.986
Standard Class,Consumer,United States,Ontario,California,91761,West,Furniture,Chairs,283.92,5,0.2,-46.137
Second Class,Home Office,United States,Brentwood,California,94513,West,Technology,Accessories,59.97,3,0,13.7931
First Class,Consumer,United States,Baltimore,Maryland,21215,East,Office Supplies,Paper,39.9,5,0,19.95
Standard Class,Corporate,United States,Rancho Cucamonga,California,91730,West,Office Supplies,Labels,5.76,2,0,2.6496
Standard Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,26.55,3,0,13.0095
Standard Class,Home Office,United States,Moorhead,Minnesota,56560,Central,Furniture,Chairs,479.9,5,0,81.583
Second Class,Consumer,United States,Farmington,New Mexico,87401,West,Office Supplies,Supplies,12.88,1,0,0.3864
Standard Class,Consumer,United States,Wilmington,North Carolina,28403,South,Office Supplies,Art,13.12,5,0.2,1.476
Standard Class,Home Office,United States,Jackson,Mississippi,39212,South,Office Supplies,Binders,511.84,8,0,240.5648
Same Day,Home Office,United States,Tucson,Arizona,85705,West,Furniture,Chairs,259.136,4,0.2,-25.9136
Standard Class,Consumer,United States,Boynton Beach,Florida,33437,South,Office Supplies,Paper,15.552,3,0.2,5.4432
Same Day,Corporate,United States,Mesquite,Texas,75150,Central,Office Supplies,Binders,0.876,1,0.8,-1.4016
Same Day,Consumer,United States,Redlands,California,92374,West,Office Supplies,Paper,19.98,1,0,9.3906
Second Class,Consumer,United States,Rochester,New York,14609,East,Furniture,Tables,209.67,1,0.4,-13.978
Standard Class,Consumer,United States,Stockton,California,95207,West,Office Supplies,Paper,159.88,7,0,73.5448
Standard Class,Consumer,United States,Ormond Beach,Florida,32174,South,Office Supplies,Binders,2.808,3,0.7,-1.9656
First Class,Corporate,United States,Sunnyvale,California,94086,West,Furniture,Chairs,215.976,3,0.2,-2.6997
Second Class,Home Office,United States,Lansing,Michigan,48911,Central,Furniture,Bookcases,241.96,2,0,41.1332
Second Class,Corporate,United States,Dover,New Hampshire,3820,East,Office Supplies,Appliances,33.28,4,0,9.3184
Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Furniture,Furnishings,14.76,5,0.6,-11.439
Standard Class,Corporate,United States,Long Beach,New York,11561,East,Office Supplies,Binders,149.544,9,0.2,50.4711
Standard Class,Corporate,United States,York,Pennsylvania,17403,East,Furniture,Chairs,422.058,3,0.3,-18.0882
Standard Class,Consumer,United States,College Station,Texas,77840,Central,Furniture,Chairs,233.058,3,0.3,-53.2704
Second Class,Consumer,United States,Saint Louis,Missouri,63116,Central,Technology,Accessories,111.79,7,0,43.5981
Standard Class,Consumer,United States,Quincy,Massachusetts,2169,East,Office Supplies,Paper,14.94,3,0,7.0218
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Furniture,Furnishings,22.608,3,0.6,-10.1736
Standard Class,Home Office,United States,Deltona,Florida,32725,South,Office Supplies,Art,17.856,4,0.2,2.0088
Same Day,Consumer,United States,Cincinnati,Ohio,45231,East,Furniture,Furnishings,79.384,1,0.2,29.769
Standard Class,Home Office,United States,Oakland,California,94601,West,Office Supplies,Art,34.58,1,0,10.0282
Standard Class,Home Office,United States,Manteca,California,95336,West,Office Supplies,Paper,314.55,3,0,150.984
Second Class,Consumer,United States,Kent,Ohio,44240,East,Office Supplies,Art,14.016,3,0.2,1.752
Standard Class,Corporate,United States,San Angelo,Texas,76903,Central,Furniture,Chairs,305.312,2,0.3,-8.7232
Standard Class,Home Office,United States,Salt Lake City,Utah,84106,West,Office Supplies,Paper,45.68,2,0,21.0128
Same Day,Consumer,United States,Huntsville,Alabama,35810,South,Technology,Accessories,29,2,0,7.25
Standard Class,Consumer,United States,Columbus,Indiana,47201,Central,Office Supplies,Envelopes,70.08,6,0,35.04
Standard Class,Consumer,United States,Knoxville,Tennessee,37918,South,Office Supplies,Art,4.704,2,0.2,0.4116
Standard Class,Consumer,United States,Montgomery,Alabama,36116,South,Office Supplies,Art,14.67,3,0,3.9609
Standard Class,Consumer,United States,Little Rock,Arkansas,72209,South,Furniture,Furnishings,22.2,6,0,9.102
Standard Class,Consumer,United States,Lancaster,Pennsylvania,17602,East,Furniture,Furnishings,20.104,1,0.2,1.7591
Second Class,Home Office,United States,Bristol,Tennessee,37620,South,Office Supplies,Art,67.56,3,0.2,8.445
Second Class,Consumer,United States,Fairfield,Connecticut,6824,East,Technology,Phones,832.93,7,0,233.2204
First Class,Corporate,United States,Lincoln Park,Michigan,48146,Central,Office Supplies,Appliances,167.292,6,0.1,29.7408
Same Day,Consumer,United States,Marion,Ohio,43302,East,Technology,Phones,485.94,2,0.4,-89.089
Second Class,Consumer,United States,Littleton,Colorado,80122,West,Furniture,Bookcases,72.294,1,0.7,-98.8018
Standard Class,Consumer,United States,La Porte,Indiana,46350,Central,Furniture,Furnishings,526.45,5,0,31.587
Second Class,Consumer,United States,Portland,Oregon,97206,West,Technology,Phones,319.968,4,0.2,35.9964
Standard Class,Corporate,United States,Burlington,Vermont,5408,East,Technology,Accessories,205.03,7,0,67.6599
Second Class,Consumer,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Storage,190.86,2,0,11.4516
Standard Class,Home Office,United States,Provo,Utah,84604,West,Office Supplies,Supplies,44.4,5,0,12.432
Standard Class,Home Office,United States,Pasadena,California,91104,West,Office Supplies,Storage,56.56,2,0,15.2712
Second Class,Home Office,United States,San Diego,California,92105,West,Office Supplies,Paper,143.7,3,0,68.976
Standard Class,Corporate,United States,Bangor,Maine,4401,East,Technology,Phones,437.85,3,0,131.355
Second Class,Consumer,United States,Atlanta,Georgia,30318,South,Technology,Accessories,499.98,2,0,114.9954
Same Day,Home Office,United States,Monroe,North Carolina,28110,South,Office Supplies,Paper,7.968,2,0.2,2.6892
Standard Class,Corporate,United States,Rochester,New York,14609,East,Office Supplies,Paper,6.48,1,0,3.1104
Standard Class,Consumer,United States,Southaven,Mississippi,38671,South,Office Supplies,Storage,306.2,5,0,0
First Class,Corporate,United States,Middletown,Connecticut,6457,East,Office Supplies,Paper,48.16,7,0,22.1536
Standard Class,Consumer,United States,New Castle,Indiana,47362,Central,Technology,Phones,23.92,2,0,6.6976
First Class,Corporate,United States,Murfreesboro,Tennessee,37130,South,Office Supplies,Paper,14.352,3,0.2,5.2026
Standard Class,Consumer,United States,Salem,Virginia,24153,South,Office Supplies,Appliances,35.04,2,0,12.264
Second Class,Corporate,United States,Toledo,Ohio,43615,East,Office Supplies,Appliances,17.48,5,0.2,1.311
Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Technology,Phones,287.97,3,0,77.7519
Standard Class,Corporate,United States,Middletown,Connecticut,6457,East,Furniture,Furnishings,181.95,3,0,38.2095
Standard Class,Consumer,United States,Midland,Michigan,48640,Central,Office Supplies,Binders,12.72,3,0,6.36
Second Class,Home Office,United States,Roswell,Georgia,30076,South,Furniture,Chairs,723.92,4,0,188.2192
First Class,Home Office,United States,Peoria,Arizona,85345,West,Furniture,Chairs,280.792,1,0.2,35.099
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Labels,14.62,2,0,6.8714
First Class,Consumer,United States,Richmond,Virginia,23223,South,Office Supplies,Appliances,194.32,4,0,56.3528
Second Class,Corporate,United States,Henderson,Kentucky,42420,South,Office Supplies,Binders,94.74,3,0,44.5278
First Class,Home Office,United States,Fort Collins,Colorado,80525,West,Office Supplies,Envelopes,14.352,3,0.2,5.2026
Standard Class,Consumer,United States,Lafayette,Indiana,47905,Central,Office Supplies,Paper,277.4,5,0,133.152
Standard Class,Consumer,United States,Clarksville,Tennessee,37042,South,Office Supplies,Appliances,69.216,6,0.2,11.2476
Same Day,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Envelopes,10.86,3,0,5.1042
Standard Class,Consumer,United States,Warner Robins,Georgia,31088,South,Office Supplies,Art,41.86,7,0,10.465
First Class,Home Office,United States,Franklin,Massachusetts,2038,East,Furniture,Furnishings,63.2,5,0,23.384
Standard Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Office Supplies,Appliances,490.32,9,0,137.2896
Standard Class,Home Office,United States,Waynesboro,Virginia,22980,South,Furniture,Furnishings,127.88,2,0,40.9216
Second Class,Consumer,United States,Sacramento,California,95823,West,Furniture,Chairs,120.712,1,0.2,-18.1068
First Class,Consumer,United States,Clinton,Maryland,20735,East,Office Supplies,Paper,23.12,4,0,11.3288
Standard Class,Corporate,United States,Fairfield,Ohio,45014,East,Furniture,Furnishings,532.704,6,0.2,-26.6352
Second Class,Corporate,United States,Aurora,Illinois,60505,Central,Furniture,Furnishings,60.288,8,0.6,-27.1296
Standard Class,Consumer,United States,Smyrna,Georgia,30080,South,Office Supplies,Fasteners,5.67,3,0,0.1134
Standard Class,Home Office,United States,Thousand Oaks,California,91360,West,Office Supplies,Paper,32.75,5,0,15.065
First Class,Consumer,United States,Fresno,California,93727,West,Office Supplies,Appliances,176.04,4,0,45.7704
Standard Class,Consumer,United States,Malden,Massachusetts,2148,East,Office Supplies,Art,39.68,2,0,10.3168
Standard Class,Corporate,United States,Florence,South Carolina,29501,South,Office Supplies,Storage,628.81,7,0,12.5762
Standard Class,Corporate,United States,Huntsville,Texas,77340,Central,Furniture,Bookcases,956.6648,7,0.32,-225.0976
Standard Class,Home Office,United States,Holyoke,Massachusetts,1040,East,Furniture,Bookcases,301.96,2,0,60.392
Standard Class,Corporate,United States,Albuquerque,New Mexico,87105,West,Technology,Accessories,595,5,0,95.2
Standard Class,Corporate,United States,Sparks,Nevada,89431,West,Technology,Machines,2396.4,10,0.2,179.73
Standard Class,Corporate,United States,Coachella,California,92236,West,Office Supplies,Storage,63.56,2,0,3.178
Standard Class,Home Office,United States,Elmhurst,Illinois,60126,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Technology,Accessories,158.928,7,0.2,41.7186
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Binders,1.344,4,0.8,-2.1504
First Class,Corporate,United States,Springfield,Virginia,22153,South,Office Supplies,Envelopes,33.96,2,0,16.98
Standard Class,Consumer,United States,Farmington,New Mexico,87401,West,Furniture,Furnishings,545.85,9,0,114.6285
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Technology,Phones,345,5,0,86.25
Second Class,Consumer,United States,North Charleston,South Carolina,29406,South,Office Supplies,Storage,269.49,3,0,5.3898
Standard Class,Home Office,United States,San Jose,California,95123,West,Office Supplies,Binders,29.12,5,0.2,9.828
Standard Class,Consumer,United States,Plainfield,New Jersey,7060,East,Office Supplies,Appliances,97.84,2,0,25.4384
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Office Supplies,Paper,9.11,1,0,4.0995
Standard Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Furniture,Furnishings,14.272,8,0.2,4.2816
Standard Class,Consumer,United States,Jamestown,New York,14701,East,Technology,Phones,4548.81,7,0,1228.1787
Standard Class,Consumer,United States,Mishawaka,Indiana,46544,Central,Furniture,Chairs,647.84,8,0,32.392
First Class,Corporate,United States,Skokie,Illinois,60076,Central,Office Supplies,Paper,12.224,2,0.2,4.4312
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Storage,1117.92,4,0,55.896
First Class,Consumer,United States,Monroe,Louisiana,71203,South,Technology,Accessories,106.5,6,0,41.535
Standard Class,Consumer,United States,Bowling Green,Ohio,43402,East,Office Supplies,Storage,264.32,2,0.2,19.824
Standard Class,Corporate,United States,Westfield,New Jersey,7090,East,Furniture,Furnishings,129.93,3,0,12.993
Standard Class,Home Office,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Paper,10.368,2,0.2,3.6288
Standard Class,Corporate,United States,Little Rock,Arkansas,72209,South,Office Supplies,Paper,114.2,5,0,52.532
First Class,Corporate,United States,La Quinta,California,92253,West,Technology,Accessories,46.32,4,0,18.0648
Standard Class,Corporate,United States,Scottsdale,Arizona,85254,West,Furniture,Furnishings,111.888,7,0.2,22.3776
Standard Class,Home Office,United States,Malden,Massachusetts,2148,East,Furniture,Bookcases,173.94,3,0,13.9152
Standard Class,Home Office,United States,Columbia,South Carolina,29203,South,Office Supplies,Paper,25.92,4,0,12.4416
Standard Class,Consumer,United States,Tallahassee,Florida,32303,South,Technology,Phones,705.544,7,0.2,70.5544
Standard Class,Corporate,United States,Coral Springs,Florida,33065,South,Office Supplies,Appliances,6.992,2,0.2,0.5244
Standard Class,Consumer,United States,Nashville,Tennessee,37211,South,Office Supplies,Labels,9.216,4,0.2,3.3408
First Class,Consumer,United States,Bowling Green,Kentucky,42104,South,Technology,Accessories,71,4,0,27.69
Second Class,Consumer,United States,Bellingham,Washington,98226,West,Office Supplies,Binders,25.12,5,0.2,7.85
Standard Class,Home Office,United States,Woodstock,Illinois,60098,Central,Office Supplies,Art,2.912,2,0.2,0.91
Standard Class,Home Office,United States,Lafayette,Indiana,47905,Central,Furniture,Furnishings,526.45,5,0,31.587
Standard Class,Home Office,United States,Alexandria,Virginia,22304,South,Furniture,Furnishings,62.82,3,0,30.7818
Standard Class,Corporate,United States,Haltom City,Texas,76117,Central,Office Supplies,Envelopes,6.608,2,0.2,2.1476
